,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Zack Snyder's Justice League,2021,8.2,54.0,228506,,242
1,Avengers: Endgame,2019,8.4,78.0,846287,858.37,181
2,Sound of Metal,2019,7.8,82.0,50719,,120
3,The Trial of the Chicago 7,2020,7.8,77.0,119961,,129
4,Soul,2020,8.1,83.0,211578,,100
5,Judas and the Black Messiah,2021,7.6,85.0,30225,,126
6,Another Round,2020,7.8,80.0,53164,,117
7,The Dark Knight,2008,9.0,84.0,2332673,534.86,152
8,Avengers: Infinity War,2018,8.4,68.0,858386,678.82,149
9,Watchmen,2009,7.6,56.0,508538,107.51,162
10,Joker,2019,8.4,59.0,972087,335.45,122
11,The Godfather,1972,9.2,100.0,1640788,134.97,175
12,Once Upon a Time... In Hollywood,2019,7.6,83.0,568314,142.5,161
13,The Shawshank Redemption,1994,9.3,80.0,2369559,28.34,142
14,Interstellar,2014,8.6,74.0,1537076,188.02,169
15,Blade Runner 2049,2017,8.0,81.0,471026,92.05,164
16,Parasite,2019,8.6,96.0,582956,53.37,132
17,Guardians of the Galaxy,2014,8.0,76.0,1054508,333.18,121
18,Bohemian Rhapsody,2018,8.0,49.0,459969,216.43,134
19,The Gentlemen,2019,7.8,51.0,253281,,113
20,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1678933,315.54,178
21,Thor: Ragnarok,2017,7.9,74.0,601845,315.06,130
22,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,667084,317.58,152
23,Inception,2010,8.8,74.0,2092679,292.58,148
24,Back to the Future,1985,8.5,87.0,1070757,210.61,116
25,The Wolf of Wall Street,2013,8.2,75.0,1208103,116.9,180
26,Captain America: The Winter Soldier,2014,7.7,70.0,746311,259.77,136
27,Captain America: Civil War,2016,7.8,75.0,675071,408.08,147
28,Titanic,1997,7.8,75.0,1056926,659.33,194
29,The Avengers,2012,8.0,69.0,1272403,623.28,143
30,Pulp Fiction,1994,8.9,94.0,1846329,107.93,154
31,Knives Out,2019,7.9,82.0,475049,165.36,130
32,Captain Fantastic,2016,7.9,72.0,194091,5.88,118
33,300,2006,7.6,52.0,738325,210.61,117
34,Gone Girl,2014,8.1,79.0,872797,167.77,149
35,Tombstone,1993,7.8,50.0,128506,56.51,130
36,Jojo Rabbit,2019,7.9,58.0,309888,0.35,108
37,Deadpool,2016,8.0,65.0,912972,363.07,108
38,1917,2019,8.3,78.0,446475,159.23,119
39,Alien,1979,8.4,89.0,796041,78.9,117
40,Jurassic Park,1993,8.1,68.0,876668,402.45,127
41,Deadpool 2,2018,7.7,66.0,488881,324.59,119
42,Goodfellas,1990,8.7,90.0,1033132,46.84,146
43,Iron Man,2008,7.9,79.0,950294,318.41,126
44,Dazed and Confused,1993,7.6,78.0,167786,7.99,102
45,Into the Wild,2007,8.1,73.0,578943,18.35,148
46,The Dark Knight Rises,2012,8.4,78.0,1531800,448.14,164
47,Mad Max: Fury Road,2015,8.1,90.0,892732,154.06,120
48,The Silence of the Lambs,1991,8.6,85.0,1286344,130.74,118
49,Forrest Gump,1994,8.8,82.0,1832103,330.25,142
50,Avatar,2009,7.8,83.0,1127118,760.51,162
51,The Departed,2006,8.5,85.0,1202765,132.38,151
52,Little Women,2019,7.8,91.0,149590,108.1,135
53,The Matrix,1999,8.7,73.0,1695140,171.48,136
54,Gladiator,2000,8.5,67.0,1354865,187.71,155
55,Batman Begins,2005,8.2,70.0,1321423,206.85,140
56,Inglourious Basterds,2009,8.3,69.0,1284150,120.54,153
57,Fight Club,1999,8.8,66.0,1875395,37.03,139
58,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,579376,389.81,136
59,No Country for Old Men,2007,8.1,91.0,867643,74.28,122
60,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,388692,190.24,117
61,The Prestige,2006,8.5,66.0,1204117,53.09,130
62,Schindler's List,1993,8.9,94.0,1225395,96.9,195
63,Hamilton,2020,8.5,90.0,60852,,160
64,American Psycho,2000,7.6,64.0,499599,15.07,101
65,Citizen Kane,1941,8.3,100.0,408301,1.59,119
66,Léon: The Professional,1994,8.5,64.0,1046946,19.5,110
67,Heat,1995,8.2,76.0,584284,67.44,170
68,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1659140,377.85,201
69,The Grand Budapest Hotel,2014,8.1,88.0,718336,59.1,99
70,Terminator 2: Judgment Day,1991,8.5,75.0,1003768,204.84,137
71,Ford v Ferrari,2019,8.1,81.0,303580,117.62,152
72,Blade Runner,1982,8.1,84.0,700088,32.87,117
73,Se7en,1995,8.6,65.0,1462930,100.13,127
74,Whiplash,2014,8.5,88.0,728959,13.09,106
75,Apocalypse Now,1979,8.4,94.0,612509,83.47,147
76,Django Unchained,2012,8.4,81.0,1374877,162.81,165
77,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,773439,381.01,130
78,Shutter Island,2010,8.2,63.0,1146534,128.01,138
79,Taxi Driver,1976,8.2,94.0,734031,28.26,114
80,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,69517,,131
