Product Name,Price,Store
Arc'teryx Beta LT Jacket - Women's,$529.95,MEC
Arc'teryx Beta AR Gore-Tex Jacket - Women's,$524.94,MEC
Arc'teryx Beta LT Jacket - Men's,$529.95,MEC
Arc'teryx Beta AR Gore-Tex Jacket - Men's,$749.95,MEC
Arc'teryx Women's Beta SL Hybrid Jacket - Black - Black,$349.97,Atmosphere
Arc'teryx Women's Beta SL Hybrid Gore-Tex 2L Shell Jacket - Dakini,$349.97,Atmosphere
Arc'teryx Women's Beta LT 3L Gore-tex Shell Jacket - Dimma - Dimma,$297.97,Atmosphere
Arc'teryx Women's Beta All Round 3L Gore-Tex Shell Jacket - Hyperspace,$489.97,Atmosphere
Arc'teryx Beta SL Hybrid Jacket - Men's,$329.99,The Last Hunt
Arc'teryx Beta AR Pant - Men's,$368.49,The Last Hunt
